navName,navLink,navImage,hex
Oil-based cleanser,oil-based-cleanser,https://source.unsplash.com/random,#7abc5b
Cleanser,cleanser,https://source.unsplash.com/random,#3cad2a
Exfoliator,exfoliator,https://source.unsplash.com/random,#494a4c
Toner,toner,https://source.unsplash.com/random,#62aec5
Essence,essence,https://source.unsplash.com/random,#d8cae3
Serum,serum,https://source.unsplash.com/random,#01a4b3
Sheet Mask,sheet-mask,https://source.unsplash.com/random,#dd5942
Eye Cream,eye-cream,https://source.unsplash.com/random,#0069bc
Moisturiser,moisturiser,https://source.unsplash.com/random,#0d7fc5
Sun Protection,sun-protection,https://source.unsplash.com/random,#FDB813 
